195.1.186.120/30,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.124/31,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.126/32,3156764,3144096,,0,0,1330,59.9019,10.6362,200
195.1.186.127/32,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.186.128/25,3161732,3144096,,0,0,5039,60.4367,5.2815,200
195.1.187.0/24,3144096,3144096,,0,0,,59.9452,10.7559,200
195.1.188.0/22,8659014,3144096,,0,0,5710,60.6618,6.4424,200
195.1.192.0/22,3145375,3144096,,0,0,1528,59.4188,10.6896,200
195.1.196.0/23,3137115,3144096,,0,0,4012,58.9590,5.7758,200
195.1.198.0/23,3143244,3144096,,0,0,0015,59.8479,10.7692,200
195.1.200.0/23,3133880,3144096,,0,0,7020,63.4213,10.3468,500
195.1.202.0/24,3147465,3144096,,0,0,2004,59.9536,11.0620,500
195.1.203.0/25,3143244,3144096,,0,0,0015,59.8479,10.7692,500
195.1.203.128/25,3133880,3144096,,0,0,7020,63.4213,10.3468,500
195.1.204.0/23,3149533,3144096,,0,0,2211,60.1838,12.0350,20
195.1.206.0/23,3143244,3144096,,0,0,0790,59.8479,10.7692,50
195.1.208.0/20,3133880,3144096,,0,0,7037,63.3925,10.3929,500
195.1.224.0/19,3144096,3144096,,0,0,,59.9452,10.7559,200
195.2.0.0/19,2635167,2635167,,0,0,,51.4964,-0.1224,200
195.2.32.0/21,2750405,2750405,,0,0,,52.3824,4.8995,100
195.2.40.0/21,2633709,2750405,,0,0,GU22,51.3157,-0.5350,100
195.2.48.0/20,2750405,2750405,,0,0,,52.3824,4.8995,100
195.2.64.0/20,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.80.0/22,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.84.0/23,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.86.0/24,2750405,2017370,,0,0,,52.3824,4.8995,1000
195.2.87.0/24,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.88.0/22,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.92.0/23,2750405,2017370,,0,0,,52.3824,4.8995,1000
195.2.94.0/23,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.96.0/19,458258,458258,,0,0,,57.0000,25.0000,50
195.2.128.0/22,2635167,2635167,,0,0,,51.4964,-0.1224,200
195.2.132.0/24,2646411,2635167,,0,0,RG17,51.4000,-1.4667,100
195.2.133.0/24,2647317,2635167,,0,0,PO9,50.8544,-1.0020,100
195.2.134.0/23,2646411,2635167,,0,0,RG17,51.4000,-1.4667,100
195.2.136.0/22,2635167,2635167,,0,0,,51.4964,-0.1224,200
195.2.140.0/22,2634686,2635167,,0,0,PO8,50.9163,-1.0075,200
195.2.144.0/20,2635167,2635167,,0,0,,51.4964,-0.1224,200
195.2.160.0/19,2921044,2921044,,0,0,,51.2993,9.4910,200
195.2.192.0/22,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.196.0/23,5392171,6252001,,0,0,95113,37.3387,-121.8914,1000
195.2.198.0/23,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.200.0/23,2782113,2782113,,0,0,,48.2000,16.3667,200
195.2.202.0/23,2963597,2963597,,0,0,,53.3472,-6.2439,200
195.2.204.0/23,690791,690791,,0,0,,50.4522,30.5287,500
195.2.206.0/23,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.208.0/23,798544,798544,,0,0,,52.2394,21.0362,200
195.2.210.0/23,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.212.0/23,798544,798544,,0,0,,52.2394,21.0362,200
195.2.214.0/23,480301,2017370,,0,0,431890,54.8333,46.3167,1
195.2.216.0/23,2017370,2017370,,0,0,,55.7386,37.6068,1000
195.2.218.0/24,2523920,3175395,,0,0,90146,38.1299,13.3276,20
195.2.219.0/24,2523920,3175395,,0,0,90146,38.1299,13.3276,50
195.2.220.0/23,2782113,2782113,,0,0,,48.2000,16.3667,200
195.2.222.0/23,798544,798544,,0,0,,52.2394,21.0362,200
195.2.224.0/23,2635167,2635167,,0,0,,51.4964,-0.1224,200
195.2.226.0/23,3077311,3077311,,0,0,,50.0848,14.4112,100
195.2.228.0/23,5368361,2658434,,0,0,90009,34.0544,-118.2440,100
195.2.230.0/23,1522867,1522867,,0,0,,48.0000,68.0000,50
195.2.232.0/27,481964,2017370,,0,0,187002,59.5400,30.8775,1
195.2.232.32/28,481964,2017370,,0,0,187002,59.5400,30.8775,1
195.2.232.48/29,481964,2017370,,0,0,187002,59.5400,30.8775,1
195.2.232.56/30,481964,2017370,,0,0,187002,59.5400,30.8775,1
195.2.232.60/32,513903,2017370,,0,0,187000,54.3816,21.8897,1
195.2.232.61/32,481964,2017370,,0,0,187002,59.5400,30.8775,1
